﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
03.03.2025 00:00:00;03.03.2025 01:00:00;6287,300
03.03.2025 01:00:00;03.03.2025 02:00:00;6047,900
03.03.2025 02:00:00;03.03.2025 03:00:00;5951,900
03.03.2025 03:00:00;03.03.2025 04:00:00;5915,500
03.03.2025 04:00:00;03.03.2025 05:00:00;6159,500
03.03.2025 05:00:00;03.03.2025 06:00:00;6899,700
03.03.2025 06:00:00;03.03.2025 07:00:00;8096,200
03.03.2025 07:00:00;03.03.2025 08:00:00;8837,100
03.03.2025 08:00:00;03.03.2025 09:00:00;8923,400
03.03.2025 09:00:00;03.03.2025 10:00:00;8699,900
03.03.2025 10:00:00;03.03.2025 11:00:00;8305,900
03.03.2025 11:00:00;03.03.2025 12:00:00;7988,400
03.03.2025 12:00:00;03.03.2025 13:00:00;7623,000
03.03.2025 13:00:00;03.03.2025 14:00:00;7463,200
03.03.2025 14:00:00;03.03.2025 15:00:00;7489,200
03.03.2025 15:00:00;03.03.2025 16:00:00;7801,800
03.03.2025 16:00:00;03.03.2025 17:00:00;8155,000
03.03.2025 17:00:00;03.03.2025 18:00:00;8464,100
03.03.2025 18:00:00;03.03.2025 19:00:00;8685,600
03.03.2025 19:00:00;03.03.2025 20:00:00;8489,300
03.03.2025 20:00:00;03.03.2025 21:00:00;8021,400
03.03.2025 21:00:00;03.03.2025 22:00:00;7447,500
03.03.2025 22:00:00;03.03.2025 23:00:00;7196,700
03.03.2025 23:00:00;04.03.2025 00:00:00;6719,700
04.03.2025 00:00:00;04.03.2025 01:00:00;6317,300
04.03.2025 01:00:00;04.03.2025 02:00:00;6063,600
04.03.2025 02:00:00;04.03.2025 03:00:00;5976,300
04.03.2025 03:00:00;04.03.2025 04:00:00;5939,300
04.03.2025 04:00:00;04.03.2025 05:00:00;6153,800
04.03.2025 05:00:00;04.03.2025 06:00:00;6862,900
04.03.2025 06:00:00;04.03.2025 07:00:00;7987,000
04.03.2025 07:00:00;04.03.2025 08:00:00;8645,200
04.03.2025 08:00:00;04.03.2025 09:00:00;8814,300
04.03.2025 09:00:00;04.03.2025 10:00:00;8598,300
04.03.2025 10:00:00;04.03.2025 11:00:00;8287,800
04.03.2025 11:00:00;04.03.2025 12:00:00;7953,100
04.03.2025 12:00:00;04.03.2025 13:00:00;7689,400
04.03.2025 13:00:00;04.03.2025 14:00:00;7435,800
04.03.2025 14:00:00;04.03.2025 15:00:00;7429,600
04.03.2025 15:00:00;04.03.2025 16:00:00;7604,400
04.03.2025 16:00:00;04.03.2025 17:00:00;7894,500
04.03.2025 17:00:00;04.03.2025 18:00:00;8339,600
04.03.2025 18:00:00;04.03.2025 19:00:00;8566,600
04.03.2025 19:00:00;04.03.2025 20:00:00;8382,200
04.03.2025 20:00:00;04.03.2025 21:00:00;7908,900
04.03.2025 21:00:00;04.03.2025 22:00:00;7360,500
04.03.2025 22:00:00;04.03.2025 23:00:00;7031,900
04.03.2025 23:00:00;05.03.2025 00:00:00;6570,300
05.03.2025 00:00:00;05.03.2025 01:00:00;6335,800
05.03.2025 01:00:00;05.03.2025 02:00:00;6102,400
05.03.2025 02:00:00;05.03.2025 03:00:00;6024,400
05.03.2025 03:00:00;05.03.2025 04:00:00;6074,200
05.03.2025 04:00:00;05.03.2025 05:00:00;6186,600
05.03.2025 05:00:00;05.03.2025 06:00:00;6895,900
05.03.2025 06:00:00;05.03.2025 07:00:00;8033,400
05.03.2025 07:00:00;05.03.2025 08:00:00;8542,800
05.03.2025 08:00:00;05.03.2025 09:00:00;8369,400
05.03.2025 09:00:00;05.03.2025 10:00:00;7905,600
05.03.2025 10:00:00;05.03.2025 11:00:00;7582,000
05.03.2025 11:00:00;05.03.2025 12:00:00;7280,700
05.03.2025 12:00:00;05.03.2025 13:00:00;6956,400
05.03.2025 13:00:00;05.03.2025 14:00:00;6880,500
05.03.2025 14:00:00;05.03.2025 15:00:00;6883,900
05.03.2025 15:00:00;05.03.2025 16:00:00;7110,000
05.03.2025 16:00:00;05.03.2025 17:00:00;7596,300
05.03.2025 17:00:00;05.03.2025 18:00:00;8238,500
05.03.2025 18:00:00;05.03.2025 19:00:00;8535,400
05.03.2025 19:00:00;05.03.2025 20:00:00;8374,000
05.03.2025 20:00:00;05.03.2025 21:00:00;7943,900
05.03.2025 21:00:00;05.03.2025 22:00:00;7390,700
05.03.2025 22:00:00;05.03.2025 23:00:00;7125,200
05.03.2025 23:00:00;06.03.2025 00:00:00;6668,100
06.03.2025 00:00:00;06.03.2025 01:00:00;6306,200
06.03.2025 01:00:00;06.03.2025 02:00:00;6081,000
06.03.2025 02:00:00;06.03.2025 03:00:00;6042,300
06.03.2025 03:00:00;06.03.2025 04:00:00;5974,400
06.03.2025 04:00:00;06.03.2025 05:00:00;6187,600
06.03.2025 05:00:00;06.03.2025 06:00:00;6890,300
06.03.2025 06:00:00;06.03.2025 07:00:00;7978,100
